Matrix Size,Poor Base Case,Proper Base Case,'Supposed' Cache Optimized,Poor OpenMP,Thrashing OpenMP,Correct OpenMP
2048,0.2208,0.0184,0.0194,0.00779996,0.0938,0.2502,0.00740004
1024,0.0268,0.00439997,0.00559998,0.00200009,0.0104001,0.1184,0.00239992
512,0.00300002,0.00100002,0.00120001,0.000799942,0.00139995,0.0722,0.000400019
256,0.000799942,0.000200033,0.00079999,0.000599957,0.000600052,0.0552,0.000200033
128,0.000199986,0.000199986,0.000200033,0.000199986,0,0.0280001,0.000599957
64,0,0,0,0,0.000199986,0.00960002,0.000199986
32,0,0,0,0.000199986,0.000200033,0.00619998,0.000399971
16,0,0,0,0.000399971,0.000399971,0.00440006,0
8,0,0,0,0,0.000199986,0.00079999,0.000400019
4,0,0,0,0,0.000600004,0.000400019,0.000199986
